input_text,intent,subject,action,concept,split
I need a microcontroller.,request,me,need,unknown_concept,train
Does She need painkillers,question,other,need,painkillers,train
you need the microcontroller?,question,you,need,unknown_concept,validation
Is Your dad happy?,question,other,feel,happy,train
I'm making tea,statement,me,do,none,train
I see a pole ahead of you,alert,me,danger,pole,train
They is goin' to the garden.,statement,other,move,garden,train
I'm goin' to the clinic.,statement,me,move,unknown_concept,train
"I need bathroom, please.",request,me,need,bathroom,train
Your dad is hot,statement,other,feel,hot,validation
We need something,request,me,need,none,train
Sure,statement,me,communicate,none,train
I need a charger cable,request,me,need,unknown_concept,train
He isn't cold,statement,other,feel,cold,train
You need medicine,statement,you,need,medicine,train
He needs a sensor module.,statement,other,need,unknown_concept,test
Does My dad need bathroom,question,other,need,bathroom,train
I need water.,request,me,need,water,train
"Okay, i'm not hot.",statement,me,feel,hot,train
My mom doesn't need anything.,statement,other,need,none,validation
Are You guys still there?,question,you,communicate,none,train
You guys don't need phone,statement,you,need,phone,train
"Wait, don't go that way",alert,you,danger,none,train
"So, i need something, please.",request,me,need,none,train
You still there?,question,you,communicate,none,train
Does My dad need phone?,question,other,need,phone,train
Does My dad need water?,question,other,need,water,train
She's gonna ask him.,statement,other,do,none,train
"Don't move, bus nearby",alert,you,danger,bus,train
He needs a adapter,statement,other,need,unknown_concept,test
"Me need medicine, please",request,me,need,medicine,validation
Give me the multimeter,request,me,need,unknown_concept,test
There's a bus on your left.,alert,you,danger,bus,train
Are you going to hyperdrive?,question,you,move,unknown_concept,train
We're resting.,statement,me,do,none,test
Does My mom need water?,question,other,need,water,train
I think there's a car nearby,alert,me,danger,car,train
Me am heading to the car.,statement,me,move,car,train
You going to zibbit?,question,you,move,unknown_concept,train
Give me bluewidget.,request,me,need,unknown_concept,test
Are you goin' to the mall?,question,you,move,unknown_concept,train
"Well, the train is very close.",alert,you,danger,train,train
There's a bus ahead.,alert,you,danger,bus,validation
"He's near the car, be careful.",alert,other,danger,car,train
We feel sad,statement,me,feel,sad,validation
I don't need water.,statement,me,need,water,train
We feel tired,statement,me,feel,tired,train
I'd like some painkillers.,request,me,need,painkillers,train
"So, he's near the stairs, be careful.",alert,other,danger,stairs,validation
Fetch my wallet,request,me,need,wallet,train
We wanna go to the train.,statement,me,move,train,train
They is going to the car,statement,other,move,car,train
We need phone.,request,me,need,phone,train
You guys don't need wallet,statement,you,need,wallet,train
Could I get phone,request,me,need,phone,train
My dad is tired.,statement,other,feel,tired,train
She is going to the bus.,statement,other,move,bus,train
I'm heading to the greenhouse,statement,me,move,unknown_concept,train
Me feel sad,statement,me,feel,sad,validation
What did My mom say?,question,other,communicate,none,validation
"Um, what's your name?",question,you,communicate,name,train
"Uh, let me know when you're ready.",request,you,communicate,none,train
My mom is walking,statement,other,do,none,train
Are you goin' to the car?,question,you,move,car,train
"Stop right there, car",alert,you,danger,car,train
I need zibbit,request,me,need,unknown_concept,train
They need bathroom.,statement,other,need,bathroom,test
We want to go to the car,statement,me,move,car,train
Watch out for the zibbit.,alert,you,danger,unknown_concept,train
He's gonna rest for a bit.,statement,other,do,none,train
Take care,statement,me,communicate,none,train
Your dad is going to the bus.,statement,other,move,bus,train
I need my keys.,request,me,need,keys,train
Give me glorp.,request,me,need,unknown_concept,test
We want to go to the garden,statement,me,move,garden,train
We want food.,request,me,need,food,train
He is goin' to the restaurant.,statement,other,move,restaurant,train
What is Your dad doing,question,other,do,none,train
My dad is vacuuming.,statement,other,do,none,train
You still working?,question,you,do,none,train
I really need bathroom,request,me,need,bathroom,test
Are you walking,question,you,do,none,train
"So, me go to the garden.",statement,me,move,garden,test
Does My dad need something,question,other,need,none,train
There's a car on your left,alert,you,danger,car,train
Your dad is going to the restaurant,statement,other,move,restaurant,train
Have a good one,statement,me,communicate,none,train
"Okay, are you charging my phone?",question,you,do,none,train
Me don't need food,statement,me,need,food,train
My mom is heading to the bus,statement,other,move,bus,train
"I need water, please.",request,me,need,water,train
Are you gonna the bakery?,question,you,move,unknown_concept,train
"Uh, he's going to wait here.",statement,other,do,none,train
Where's my food? I need it,request,me,need,food,train
"Um, i go to the bus.",statement,me,move,bus,train
How is My mom,question,other,feel,none,train
I'm really cold.,statement,me,feel,cold,train
Is My dad sad?,question,other,feel,sad,train
Your dad is heading to the school,statement,other,move,school,test
"Uh, is Your dad okay?",question,other,feel,none,train
I am going to call you back,statement,me,do,none,train
They are watching something.,statement,other,do,none,train
You guys are cold.,statement,you,feel,cold,train
I don't need water,statement,me,need,water,train
Your dad is checking messages,statement,other,do,none,train
Please come this way.,request,you,move,none,validation
Your dad is making coffee.,statement,other,do,none,train
Give me hyperdrive.,request,me,need,unknown_concept,test
Me am heading to the school,statement,me,move,school,train
"I need painkillers right now, please.",request,me,need,painkillers,train
I feel hot.,statement,me,feel,hot,train
I'm listening to something,statement,me,do,none,train
"Well, are you reading?",question,you,do,none,test
Was that clear?,question,you,communicate,none,test
There's a stairs on your right,alert,you,danger,stairs,train
Your dad is goin' to the train.,statement,other,move,train,train
She is going to the restaurant,statement,other,move,restaurant,train
We don't need painkillers.,statement,me,need,painkillers,validation
Your dad disagrees.,statement,other,communicate,none,validation
Where's the medicine,question,you,need,medicine,train
Do You guys want phone?,question,you,need,phone,train
He is washing dishes,statement,other,do,none,train
"Uh, i want something.",request,me,need,none,validation
What did Your dad say,question,other,communicate,none,validation
You guys aren't sad.,statement,you,feel,sad,train
She needs keys,statement,other,need,keys,train
I'm not goin' to the bus.,statement,me,move,bus,test
"Um, let's go to the school.",request,me,move,school,train
Could you fetch some painkillers?,request,you,need,painkillers,train
Does Your dad need painkillers,question,other,need,painkillers,train
I'm sick.,statement,me,feel,sick,train
Are you going to the park?,question,you,move,unknown_concept,train
I want to go to the hospital.,statement,me,move,hospital,train
She doesn't need painkillers.,statement,other,need,painkillers,train
Give me the resistor,request,me,need,unknown_concept,test
Your dad said hello,statement,other,communicate,none,train
Tap once for no,request,you,communicate,none,train
We're low on wallet.,statement,me,need,wallet,validation
I'm not cold,statement,me,feel,cold,train
Do you need zibbit?,question,you,need,unknown_concept,test
Kind of.,statement,me,communicate,none,train
There's a fire on your left,alert,you,danger,fire,train
You're welcome,statement,me,communicate,none,train
I am gonna take a break.,statement,me,do,none,train
You guys need wallet,statement,you,need,wallet,train
We're walking to the bus,statement,me,move,bus,train
You don't need food.,statement,you,need,food,test
Give me the charger cable.,request,me,need,unknown_concept,test
You don't need bathroom,statement,you,need,bathroom,train
What did My dad say?,question,other,communicate,none,validation
I'd like some food.,request,me,need,food,validation
"Okay, you are happy.",statement,you,feel,happy,train
Are you going to florn,question,you,move,unknown_concept,train
Your dad is stretching.,statement,other,do,none,train
We need water,request,me,need,water,train
Can you grab my painkillers?,request,you,need,painkillers,test
My mom isn't going anywhere.,statement,other,move,none,train
She isn't sad,statement,other,feel,sad,train
Me am not sad.,statement,me,feel,sad,train
He's going to the office,statement,other,move,office,test
"Well, hold up, train right there.",alert,you,danger,train,train
We wanna go to the hospital.,statement,me,move,hospital,train
My dad needs wallet.,statement,other,need,wallet,train
"So, i want medicine.",request,me,need,medicine,train
"Uh, he's going to rest for a bit.",statement,other,do,none,train
Your dad is napping,statement,other,do,none,train
Me am going to the home.,statement,me,move,home,test
You all need phone.,statement,you,need,phone,train
I'm gonna wait here.,statement,me,do,none,train
There's a pole on your left.,alert,you,danger,pole,train
"Well, pass me the keys.",request,me,need,keys,train
"Um, he is making coffee.",statement,other,do,none,train
Me am happy.,statement,me,feel,happy,test
Your dad needs something,statement,other,need,none,train
"Uh, you guys don't need keys.",statement,you,need,keys,test
My mom said hello,statement,other,communicate,none,train
They are charging my phone.,statement,other,do,none,train
Does They need phone,question,other,need,phone,train
I'm stretching,statement,me,do,none,train
Me am standing,statement,me,do,none,train
Goodbye,statement,me,communicate,none,train
I'm cooking.,statement,me,do,none,train
Steep step up.,alert,you,danger,none,train
What are you doing now,question,you,do,none,train
Me go to the restaurant.,statement,me,move,restaurant,train
"He's near the pole, be careful.",alert,other,danger,pole,train
No.,statement,me,communicate,none,train
Give me glorp,request,me,need,unknown_concept,test
Are you going to the school,question,you,move,school,train
I'm heading to the mall.,statement,me,move,unknown_concept,train
She isn't tired.,statement,other,feel,tired,train
He is goin' to the office.,statement,other,move,office,train
Fetch my food.,request,me,need,food,train
"Okay, my mom doesn't need keys.",statement,other,need,keys,train
"Well, i'm getting really happy.",statement,me,feel,happy,train
Take me to the office.,request,me,move,office,train
I'm heading to the train.,statement,me,move,train,train
"Well, me am heading to the car.",statement,me,move,car,train
Have you got any phone?,question,you,need,phone,train
I follow.,statement,me,communicate,none,train
"Well, they should watch out.",alert,other,danger,none,train
Thank you,statement,me,communicate,none,train
She isn't hot,statement,other,feel,hot,train
Me was just saying hi.,statement,me,communicate,none,validation
He's gonna figure this out.,statement,other,do,none,train
My mom isn't cold,statement,other,feel,cold,train
I'm folding laundry,statement,me,do,none,train
We're not gonna the hospital.,statement,me,move,hospital,train
Do you need phone,question,you,need,phone,train
Please repeat that.,request,you,communicate,none,train
"Okay, are You guys going to the restaurant?",question,you,move,restaurant,validation
You almost done?,question,you,do,none,test
"Um, he isn't going anywhere.",statement,other,move,none,train
He is sorting mail.,statement,other,do,none,train
Let's get moving,request,you,move,none,train
They is going to the office.,statement,other,move,office,train
We wanna go to the school.,statement,me,move,school,train
I'm not going to the office,statement,me,move,office,train
Is He sad,question,other,feel,sad,train
Me am okay.,statement,me,feel,none,train
Me wanna go to the office.,statement,me,move,office,validation
Your dad is ironing,statement,other,do,none,train
My mom is organizing my things.,statement,other,do,none,train
Fetch my keys.,request,me,need,keys,train
Where's the bathroom,question,you,need,bathroom,train
You organizing my things?,question,you,do,none,train
Do you need the charger cable,question,you,need,unknown_concept,validation
Could you grab my keys?,request,you,need,keys,train
We're gonna the school.,statement,me,move,school,train
I'm gonna the library.,statement,me,move,unknown_concept,train
Me am not goin' to the car.,statement,me,move,car,validation
Me need water.,request,me,need,water,train
I'm coming,statement,me,move,none,train
They is heading to the home,statement,other,move,home,train
I'm proud of you,statement,me,communicate,none,train
He's going to the salon,statement,other,move,unknown_concept,train
"Okay, me am not going anywhere.",statement,me,move,none,train
I feel hot,statement,me,feel,hot,train
I'm going to the library,statement,me,move,unknown_concept,train
I'm going to check something.,statement,me,do,none,train
"So, i'm really happy.",statement,me,feel,happy,train
you need the flash drive?,question,you,need,unknown_concept,validation
Hand me my wallet,request,me,need,wallet,train
Have you got any painkillers?,question,you,need,painkillers,train
Nice to see you.,statement,me,communicate,none,train
Would You guys like painkillers?,question,you,need,painkillers,train
"Uh, your dad is sweeping.",statement,other,do,none,train
I feel happy.,statement,me,feel,happy,train
My mom needs phone.,statement,other,need,phone,train
My mom needs medicine.,statement,other,need,medicine,train
He needs a transistor.,statement,other,need,unknown_concept,test
Me want food,request,me,need,food,train
How is They,question,other,feel,none,train
you need the remote control?,question,you,need,unknown_concept,validation
We're walking to the garden.,statement,me,move,garden,train
Could you tell me what's going on?,request,you,communicate,none,train
I want to go to the office.,statement,me,move,office,validation
Let me know when you're ready,request,you,communicate,none,train
I need food,request,me,need,food,train
They are watering plants.,statement,other,do,none,train
My mom doesn't need wallet,statement,other,need,wallet,train
He's going to look into it.,statement,other,do,none,train
I'm going to get some sleep,statement,me,do,none,train
Right,statement,me,communicate,right,train
She isn't going anywhere.,statement,other,move,none,train
We really need keys.,request,me,need,keys,train
I'm getting really cold.,statement,me,feel,cold,train
I'm going to look into it.,statement,me,do,none,train
I'm going to the mall.,statement,me,move,unknown_concept,train
We're low on painkillers.,statement,me,need,painkillers,train
I am going to try again,statement,me,do,none,train
We need to go to the restaurant,statement,me,move,restaurant,validation
That's fine,statement,me,communicate,none,train
Me am walking to the car,statement,me,move,car,train
She is going to the hospital,statement,other,move,hospital,train
We need to go to the office,statement,me,move,office,train
Me want to go to the bus.,statement,me,move,bus,train
"So, your dad needs something.",statement,other,need,none,train
I want painkillers.,request,me,need,painkillers,train
You all are sick,statement,you,feel,sick,train
Does My mom understand?,question,other,communicate,none,validation
"Um, me am reading.",statement,me,do,none,test
"Well, i want to go to the car.",statement,me,move,car,train
Are you listening to something,question,you,do,none,train
Me go to the office.,statement,me,move,office,validation
He needs water,statement,other,need,water,train
My dad is making tea.,statement,other,do,none,train
I'm going to the depot.,statement,me,move,unknown_concept,train
"Um, give me the remote control.",request,me,need,unknown_concept,test
Bye.,statement,me,communicate,none,train
You going to the hospital?,question,you,move,hospital,train
I'm heading to the office.,statement,me,move,office,validation
I am going to ask him,statement,me,do,none,train
"Um, you don't need wallet.",statement,you,need,wallet,train
I'm going to the warehouse,statement,me,move,unknown_concept,train
Are you writing?,question,you,do,none,train
"Uh, something's wrong up ahead.",alert,you,danger,none,train
"Well, is She tired?",question,other,feel,tired,train
He needs a multimeter,statement,other,need,unknown_concept,test
I am going to clean up.,statement,me,do,none,train
We need water.,request,me,need,water,train
I'm going to clean up,statement,me,do,none,train
I wanna go to the bus.,statement,me,move,bus,train
Let's go to the car,request,me,move,car,train
My mom is tired.,statement,other,feel,tired,train
"So, she is hot.",statement,other,feel,hot,validation
My name is here.,statement,me,communicate,name,validation
Give me the keys,request,me,need,keys,train
You guys don't need painkillers.,statement,you,need,painkillers,train
"Okay, i'm going to the office.",statement,me,move,office,train
I think there's a stairs nearby,alert,me,danger,stairs,train
He is going to the garden,statement,other,move,garden,train
"Well, are you cooking?",question,you,do,none,train
Me was just saying hi,statement,me,communicate,none,validation
How is My mom?,question,other,feel,none,train
I'm going to the car,statement,me,move,car,train
"Okay, your dad is heading to the car.",statement,other,move,car,validation
Tell My mom to be careful,alert,other,danger,none,train
I need to go to the train.,statement,me,move,train,train
Could you point to it?,request,you,communicate,none,train
Can We have some water?,request,me,need,water,train
Do You guys want phone,question,you,need,phone,train
"You're almost at the fire, careful.",alert,you,danger,fire,train
Let's go to the train.,request,me,move,train,train
I don't need wallet.,statement,me,need,wallet,train
Me am going somewhere.,statement,me,move,none,train
Are you going to bluewidget,question,you,move,unknown_concept,train
We don't need phone,statement,me,need,phone,train
They are washing dishes.,statement,other,do,none,train
Do you need the adapter,question,you,need,unknown_concept,validation
Do You guys need painkillers,question,you,need,painkillers,train
You happy?,question,you,feel,happy,train
He's going to the clinic,statement,other,move,unknown_concept,train
I'm walking to the home.,statement,me,move,home,train
We really need water,request,me,need,water,test
That's fine.,statement,me,communicate,none,train
I was just saying hi,statement,me,communicate,none,validation
I want keys.,request,me,need,keys,train
I'm heading to hyperdrive,statement,me,move,unknown_concept,test
You vacuuming?,question,you,do,none,train
We're sick.,statement,me,feel,sick,train
Curb ahead,alert,you,danger,none,train
I want to go to the home.,statement,me,move,home,train
Could you fetch some phone,request,you,need,phone,validation
I could use some keys.,request,me,need,keys,test
We're really tired,statement,me,feel,tired,validation
Do you want painkillers,question,you,need,painkillers,train
I'm really happy.,statement,me,feel,happy,train
Don't go right.,request,you,move,right,train
My mom isn't hot.,statement,other,feel,hot,train
Your dad doesn't need keys.,statement,other,need,keys,train
My dad is goin' to the office.,statement,other,move,office,train
Congratulations.,statement,me,communicate,none,train
Fetch my painkillers.,request,me,need,painkillers,train
Take me to the restaurant.,request,me,move,restaurant,train
She is going to the office,statement,other,move,office,train
I need glorp,request,me,need,unknown_concept,train
you need glorp?,question,you,need,unknown_concept,test
There's a train right in front of you.,alert,you,danger,train,train
I'm going to the clinic.,statement,me,move,unknown_concept,train
"I need wallet right now, please.",request,me,need,wallet,test
"I need keys, please.",request,me,need,keys,test
Could I have some phone?,request,me,need,phone,train
He is going somewhere.,statement,other,move,none,train
"Well, we need to go to the school.",statement,me,move,school,train
I'm a little happy.,statement,me,feel,happy,train
We need to go to the school.,statement,me,move,school,train
I'm heading to the station.,statement,me,move,unknown_concept,train
Are You all going to the hospital,question,you,move,hospital,train
You alright?,question,you,feel,none,train
Watch out for the bus.,alert,you,danger,bus,train
D'you need the adapter?,question,you,need,unknown_concept,validation
Does They need wallet,question,other,need,wallet,train
We're going to the restaurant,statement,me,move,restaurant,train
"Uh, you guys don't need bathroom.",statement,you,need,bathroom,train
Me am fine.,statement,me,feel,none,train
I need a second to think,question,you,communicate,none,train
"Well, he doesn't need phone.",statement,other,need,phone,train
"Well, i'm walking to the office.",statement,me,move,office,train
I need a breadboard,request,me,need,unknown_concept,train
Are you gonna the mall?,question,you,move,unknown_concept,train
We need something.,request,me,need,none,train
"Well, my dad is organizing my things.",statement,other,do,none,train
I'd like some bathroom.,request,me,need,bathroom,train
Sad.,statement,me,communicate,sad,train
I need an adapter,request,me,need,unknown_concept,train
"Hold on, something's wrong",alert,you,danger,none,train
Could you help?,request,you,communicate,none,train
Wroblet.,statement,me,communicate,unknown_concept,train
"Okay, are you showering?",question,you,do,none,train
Is She happy,question,other,feel,happy,train
Do you need the flash drive,question,you,need,unknown_concept,validation
you need the wrench?,question,you,need,unknown_concept,validation
My mom is painting,statement,other,do,none,train
He is ironing.,statement,other,do,none,train
Me am going to the garden.,statement,me,move,garden,train
Do You guys have a second?,question,you,communicate,none,train
"Slow down, stairs ahead",alert,you,danger,stairs,test
You are happy.,statement,you,feel,happy,train
Are you ironing?,question,you,do,none,train
Give me my bathroom.,request,me,need,bathroom,train
Watch your step.,alert,you,danger,none,train
You guys don't need bathroom.,statement,you,need,bathroom,train
Does She need phone?,question,other,need,phone,train
Me want to go to the car.,statement,me,move,car,train
She's going to think about it.,statement,other,do,none,train
Be careful of the car,alert,you,danger,car,train
"Well, what is he doing?",question,other,do,none,train
Can you repeat that,request,you,communicate,none,train
"I need food, please",request,me,need,food,train
Me go to the hospital,statement,me,move,hospital,validation
He's goin' to the home.,statement,other,move,home,test
Me am walking to the train,statement,me,move,train,train
Good morning.,statement,me,communicate,none,train
My mom is going to the home,statement,other,move,home,train
He is sweeping,statement,other,do,none,train
Could you tell me what you're doing?,question,you,do,none,test
I'm not going anywhere,statement,me,move,none,train
There's a car ahead,alert,you,danger,car,train
Do You guys need food,question,you,need,food,train
Can I have some water?,request,me,need,water,train
I'm goin' to the bakery.,statement,me,move,unknown_concept,train
She is writing.,statement,other,do,none,train
We need to go to the home,statement,me,move,home,train
She was cooking earlier,statement,other,do,none,train
They is gonna the car.,statement,other,move,car,train
Give me the phone.,request,me,need,phone,train
Go to the garden,request,you,move,garden,test
"He's near the car, be careful",alert,other,danger,car,train
You all don't need bathroom,statement,you,need,bathroom,train
Me am resting,statement,me,do,none,test
Your dad is heading to the home,statement,other,move,home,train
"Well, take me to the bus.",request,me,move,bus,train
What's my name?,question,me,communicate,name,test
"Okay, i smell smoke, there might be a fire.",alert,me,danger,fire,train
Are you gonna the train?,question,you,move,train,train
Fetch my bathroom.,request,me,need,bathroom,train
She agrees.,statement,other,communicate,none,train
You are sad.,statement,you,feel,sad,train
You singing?,question,you,do,none,train
Stay to the left.,request,you,move,left,train
Do You guys want wallet,question,you,need,wallet,train
Do you need food,question,you,need,food,train
"I need wallet, please",request,me,need,wallet,train
"Stop, there's a stairs",alert,you,danger,stairs,train
They are drawing.,statement,other,do,none,train
There's a train on your right,alert,you,danger,train,test
He is hot.,statement,other,feel,hot,validation
We're heading to the office,statement,me,move,office,validation
Your dad needs something.,statement,other,need,none,train
I am going to help you,statement,me,do,none,train
Me really need food.,request,me,need,food,test
Can you introduce yourself?,request,you,communicate,none,train
I'm heading to the clinic,statement,me,move,unknown_concept,train
I want to go to the garden,statement,me,move,garden,train
I'm going to the hospital.,statement,me,move,hospital,train
Would You all like phone,question,you,need,phone,train
She is gonna the restaurant.,statement,other,move,restaurant,train
We don't need keys.,statement,me,need,keys,train
How much time is left?,question,you,communicate,time,validation
Hello.,statement,me,communicate,none,train
Is My dad okay?,question,other,feel,none,train
They are confused,statement,other,communicate,none,train
Okay.,statement,me,communicate,none,train
I'm singing,statement,me,do,none,train
Your dad is heading to the train.,statement,other,move,train,train
Keys?,question,me,communicate,keys,train
I'm gonna the studio.,statement,me,move,unknown_concept,train
I go to the hospital,statement,me,move,hospital,validation
We're going to the bus.,statement,me,move,bus,train
I'm goin' to the train.,statement,me,move,train,train
I'm fixing this.,statement,me,do,none,train
Give me a signal.,request,you,communicate,none,train
You don't need phone.,statement,you,need,phone,train
He's going to the warehouse.,statement,other,move,unknown_concept,train
Are you gonna zibbit?,question,you,move,unknown_concept,train
They is cold,statement,other,feel,cold,train
Me am heading to the office,statement,me,move,office,validation
Is that right,question,you,communicate,none,train
He's gonna the chapel.,statement,other,move,unknown_concept,train
My mom is cleaning.,statement,other,do,none,train
Fetch my food,request,me,need,food,train
They is gonna the office.,statement,other,move,office,train
Me am not doing anything.,statement,me,do,none,train
I'd really appreciate some painkillers,request,me,need,painkillers,train
Watch out for the florn,alert,you,danger,unknown_concept,train
"So, your dad is unpacking.",statement,other,do,none,train
I'm not going to the hospital.,statement,me,move,hospital,train
"Well, i think there's a train nearby.",alert,me,danger,train,train
What's his name?,question,other,communicate,name,train
Me want phone,request,me,need,phone,train
Did you finish that,question,you,do,none,test
"Uh, are You all going to the hospital?",question,you,move,hospital,train
We really need something.,request,me,need,none,test
Stairs coming your way.,alert,you,danger,stairs,train
Does He need keys,question,other,need,keys,train
Let me ask you something.,request,you,communicate,none,train
We're heading to the school.,statement,me,move,school,train
"Uh, are you packing?",question,you,do,none,train
Would You all like bathroom?,question,you,need,bathroom,train
"Um, he is heading to the restaurant.",statement,other,move,restaurant,train
Are we clear?,question,you,communicate,none,train
"Okay, they were working on it.",statement,other,do,none,train
I'm heading to the office,statement,me,move,office,validation
Would You guys like phone,question,you,need,phone,train
He's going to fix it,statement,other,do,none,train
Are you sorting mail?,question,you,do,none,train
You drawing?,question,you,do,none,train
She is drawing.,statement,other,do,none,train
I need bathroom,request,me,need,bathroom,train
"So, i'm not happy.",statement,me,feel,happy,test
I see a stairs ahead of you,alert,me,danger,stairs,train
Are you knitting?,question,you,do,none,train
What does she want?,question,other,need,none,train
Does He need water?,question,other,need,water,train
"Um, i need food right now, please.",request,me,need,food,train
Me don't need food.,statement,me,need,food,train
Your dad is sorting mail,statement,other,do,none,train
Give me florn,request,me,need,unknown_concept,test
Are You guys going to the office?,question,you,move,office,train
They need keys,statement,other,need,keys,train
My dad is heading to the home,statement,other,move,home,train
We're sitting,statement,me,do,none,train
"I need wallet, please.",request,me,need,wallet,train
Destination?,question,me,communicate,destination,train
"Uh, are you going anywhere?",question,you,move,none,train
Would You all like keys,question,you,need,keys,train
Are you leaving?,question,you,move,none,train
Does They need keys,question,other,need,keys,train
Are you going to the train?,question,you,move,train,train
I'm going to clean up.,statement,me,do,none,train
you want phone?,question,you,need,phone,train
There's a fire ahead.,alert,you,danger,fire,train
He is goin' to the car.,statement,other,move,car,train
Would you mind getting my medicine,request,you,need,medicine,train
Would You guys like food?,question,you,need,food,train
Are you going to the airport,question,you,move,unknown_concept,train
"Um, he isn't sick.",statement,other,feel,sick,train
"So, we need to go to the garden.",statement,me,move,garden,train
My dad is going to the train,statement,other,move,train,train
I'm going to the depot,statement,me,move,unknown_concept,train
Me need medicine,request,me,need,medicine,train
Would you mind getting my food,request,you,need,food,validation
It's not safe here.,alert,you,danger,none,train
Happy birthday.,statement,me,communicate,none,train
I'm going to the pharmacy.,statement,me,move,unknown_concept,train
I'm heading to the airport.,statement,me,move,unknown_concept,train
"Okay, i'm going to the studio.",statement,me,move,unknown_concept,train
